Pair,Group,N,Selection_Rate,Accuracy,TPR,FPR
RACE×SEX,Black × Female,46860,0.5015151515151515,0.8709346991037132,0.8714510705316477,0.12958445671245775
RACE×AGE_GROUP,White × Age_55_64,4516,0.49357838795394154,0.8549601417183348,0.8421739130434782,0.13176895306859207
RACE×AGE_GROUP,Other/Unknown × Age_55_64,56,0.48214285714285715,0.8571428571428571,0.88,0.16129032258064516
SEX×AGE_GROUP,Female × Age_55_64,12385,0.47283003633427534,0.8620104965684295,0.8464494569757728,0.1234375
SEX×AGE_GROUP,Male × Age_55_64,13399,0.466228823046496,0.8507351294872751,0.8257401441938947,0.12558139534883722
RACE×SEX,Asian/PI × Male,15520,0.46320876288659796,0.8752577319587629,0.8485733244857332,0.09956167814652474
RACE×AGE_GROUP,Native American × Age_55_64,403,0.45905707196029777,0.890818858560794,0.8852459016393442,0.10454545454545454
ETHNICITY×AGE_GROUP,Hispanic × Age_55_64,20109,0.45889900044756077,0.8575762096573674,0.8350178985049485,0.12223164640467439
RACE×ETHNICITY,Black × Hispanic,100543,0.45603373680912646,0.8734869657758372,0.856132430398796,0.11157177759680166
SEX×AGE_GROUP,Female × Age_40_54,10064,0.45319952305246425,0.8482710651828299,0.8248394004282655,0.1314423433444568
RACE×AGE_GROUP,Black × Age_55_64,17034,0.4405307032992838,0.8568744863214747,0.8254947314315086,0.11673151750972763
RACE×SEX,Other/Unknown × Female,268,0.43656716417910446,0.8283582089552238,0.8198198198198198,0.16560509554140126
RACE×AGE_GROUP,Asian/PI × Age_40_54,4948,0.42643492320129345,0.864591754244139,0.8169014084507042,0.09491778774289986
RACE×ETHNICITY,White × Hispanic,7397,0.42422603758280386,0.8887386778423685,0.8620581795433219,0.09095238095238095
SEX×AGE_GROUP,Female × Age_18_39,5660,0.4183745583038869,0.8650176678445229,0.8233870967741935,0.10251572327044026
RACE×ETHNICITY,Other/Unknown × Hispanic,217,0.4147465437788018,0.8755760368663594,0.9090909090909091,0.14285714285714285
RACE×ETHNICITY,Native American × Non-Hispanic,114,0.41228070175438597,0.9210526315789473,0.9318181818181818,0.08571428571428572
RACE×SEX,Black × Male,73901,0.4079647095438492,0.8793521061961272,0.8410485399466735,0.09277097166370522
RACE×ETHNICITY,Native American × Hispanic,3177,0.40195152659741895,0.8885741265344664,0.8563706563706563,0.08926673751328375
ETHNICITY×AGE_GROUP,Non-Hispanic × Age_0_17,3571,0.3962475497059647,0.895267432091851,0.8505050505050505,0.0728667305848514
RACE×AGE_GROUP,Asian/PI × Age_0_17,1006,0.38966202783300197,0.9095427435387674,0.8697788697788698,0.06343906510851419
RACE×AGE_GROUP,Black × Age_0_17,4854,0.3866913885455295,0.907292954264524,0.8653353814644137,0.06446053085143054
SEX×AGE_GROUP,Male × Age_0_17,3555,0.38649789029535864,0.8959212376933896,0.842896174863388,0.06695361071257772
RACE×ETHNICITY,Black × Non-Hispanic,20218,0.3857453754080522,0.8890097932535365,0.8426051560379919,0.07992733878292461
RACE×ETHNICITY,White × Non-Hispanic,29704,0.384661998384056,0.8839213573929438,0.8367950016886188,0.08482642777155655
RACE×AGE_GROUP,White × Age_0_17,1533,0.38030006523157206,0.8936725375081539,0.8420195439739414,0.07181719260065289
SEX×AGE_GROUP,Female × Age_0_17,4168,0.3788387715930902,0.9088291746641075,0.8707482993197279,0.06703253626029008
ETHNICITY×AGE_GROUP,Hispanic × Age_0_17,4152,0.37042389210019266,0.9094412331406551,0.8640350877192983,0.062206572769953054
RACE×AGE_GROUP,Other/Unknown × Age_0_17,215,0.3627906976744186,0.8325581395348837,0.7625,0.1259259259259259
RACE×SEX,Native American × Male,2293,0.3436546009594418,0.8922808547754034,0.8335388409371147,0.07557354925775979
ETHNICITY×AGE_GROUP,Non-Hispanic × Age_40_54,8002,0.3392901774556361,0.8740314921269683,0.792595131984916,0.07925270403146509
RACE×ETHNICITY,Asian/PI × Non-Hispanic,143,0.3356643356643357,0.8951048951048951,0.851063829787234,0.08333333333333333
ETHNICITY×AGE_GROUP,Hispanic × Age_40_54,22458,0.3353370736485885,0.8717606198236708,0.7869216533004318,0.08033163798509023
RACE×SEX,White × Male,25015,0.322606436138317,0.8951828902658405,0.8203198494825964,0.0662588577312095
RACE×AGE_GROUP,White × Age_40_54,6343,0.32240264858899575,0.8737190603815229,0.7809394760614273,0.07653184790506176
RACE×AGE_GROUP,Black × Age_40_54,18475,0.31810554803788904,0.8733964817320704,0.7802598225602028,0.07827016361095125
RACE×AGE_GROUP,Native American × Age_40_54,623,0.3146067415730337,0.884430176565008,0.8009708737864077,0.07434052757793765
RACE×ETHNICITY,Other/Unknown × Non-Hispanic,495,0.29494949494949496,0.8707070707070707,0.7662337662337663,0.08211143695014662
SEX×AGE_GROUP,Male × Age_40_54,20396,0.27873112374975484,0.8842420082369092,0.7616498740554156,0.060310452862432355
RACE×AGE_GROUP,Asian/PI × Age_18_39,5375,0.2777674418604651,0.8909767441860466,0.783260462211118,0.0633280339162692
RACE×SEX,Other/Unknown × Male,444,0.268018018018018,0.8986486486486487,0.8083333333333333,0.06790123456790123
RACE×AGE_GROUP,Other/Unknown × Age_40_54,71,0.2535211267605634,0.9154929577464789,0.8333333333333334,0.05660377358490566
ETHNICITY×AGE_GROUP,Hispanic × Age_18_39,23689,0.20296340073451813,0.9014310439444468,0.7251046786819588,0.045339635084633984
RACE×AGE_GROUP,Native American × Age_0_17,115,0.2,0.9130434782608695,0.7407407407407407,0.03409090909090909
RACE×AGE_GROUP,Black × Age_18_39,22927,0.1734636018667946,0.9064421860688271,0.6963979416809606,0.039916771614740186
RACE×AGE_GROUP,Native American × Age_18_39,989,0.1506572295247725,0.9140546006066734,0.6904761904761905,0.040194884287454324
RACE×AGE_GROUP,White × Age_18_39,12260,0.14942903752039152,0.9212071778140294,0.700277520814061,0.0314913844325609
ETHNICITY×AGE_GROUP,Non-Hispanic × Age_18_39,18082,0.14777126424068135,0.9189248976883088,0.6925287356321839,0.03364548494983278
SEX×AGE_GROUP,Male × Age_18_39,36111,0.14156351250311539,0.9158982027637008,0.6688364524003255,0.033437896282453444
RACE×AGE_GROUP,Other/Unknown × Age_18_39,220,0.1318181818181818,0.9136363636363637,0.6666666666666666,0.04736842105263158
